land_cover,eligible_actions_count,action_code,action_name,theme,rate_text
Bog,7,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Bog,7,SPM5,Keep native breeds on extensively managed habitats supplement (more than 80%),Species Recovery/Management,£11/ha
Bog,7,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Bog,7,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Bog,7,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Bog,7,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Bog,7,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Boulders,6,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Boulders,6,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Boulders,6,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Boulders,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Boulders,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Boulders,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Cliffs,6,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Cliffs,6,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Cliffs,6,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Cliffs,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Cliffs,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Cliffs,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Crops under water,2,OFC4,Organic conversion - horticultural land,Organic,£874/ha
Crops under water,2,OFM5,Organic land management - horticultural land,Organic,£707/ha
Drain/ditch/dyke,7,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Drain/ditch/dyke,7,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Drain/ditch/dyke,7,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Drain/ditch/dyke,7,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Drain/ditch/dyke,7,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Drain/ditch/dyke,7,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Drain/ditch/dyke,7,WBD2,Manage ditches,Waterbodies,£4/100m (both sides)
Fen marsh & swamp,7,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Fen marsh & swamp,7,SPM5,Keep native breeds on extensively managed habitats supplement (more than 80%),Species Recovery/Management,£11/ha
Fen marsh & swamp,7,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Fen marsh & swamp,7,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Fen marsh & swamp,7,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Fen marsh & swamp,7,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Fen marsh & swamp,7,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Gallop,6,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Gallop,6,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Gallop,6,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Gallop,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Gallop,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Gallop,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Heaps,6,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Heaps,6,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Heaps,6,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Heaps,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Heaps,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Heaps,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Heath land and bracken - ungrazeable,7,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Heath land and bracken - ungrazeable,7,SPM5,Keep native breeds on extensively managed habitats supplement (more than 80%),Species Recovery/Management,£11/ha
Heath land and bracken - ungrazeable,7,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Heath land and bracken - ungrazeable,7,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Heath land and bracken - ungrazeable,7,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Heath land and bracken - ungrazeable,7,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Heath land and bracken - ungrazeable,7,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Land lying fallow,34,AGF1,Maintain very low density (30-50 trees/ha) in-field agroforestry on less sensitive land,Agroforestry,£248/ha
Land lying fallow,34,AHW10,Low input harvested cereal crop,Farmland Wildlife - Arable/Horticultural,£354/ha
Land lying fallow,34,AHW11,Cultivated areas for arable plants,Farmland Wildlife - Arable/Horticultural,£660/ha
Land lying fallow,34,AHW2,Supplementary winter bird food,Farmland Wildlife - Arable/Horticultural,£732/t (max 1t per 2ha CAHL2)
Land lying fallow,34,AHW3,Beetle banks,Farmland Wildlife - Arable/Horticultural,£764/ha
Land lying fallow,34,AHW4,Skylark plots,Farmland Wildlife - Arable/Horticultural,£11/plot (min 2 plots/ha)
Land lying fallow,34,AHW8,Whole crop spring cereals and overwinter stubble,Farmland Wildlife - Arable/Horticultural,£596/ha
Land lying fallow,34,AHW9,Unharvested cereal headland,Farmland Wildlife - Arable/Horticultural,"£1,072/ha"
Land lying fallow,34,BFS1,12m-24m watercourse buffer strips on cultivated land,Buffer Strips,£707/ha
Land lying fallow,34,BFS6,6m to 12m habitat strip next to watercourses,Buffer Strips,£742/ha
Land lying fallow,34,BND1,Maintain dry stone walls,Boundary Features,£27/100m (both sides)
Land lying fallow,34,BND2,Maintain earth banks or stone-faced hedgebanks,Boundary Features,£11/100m (both sides)
Land lying fallow,34,CAHL1,Pollen and nectar flower mix,Farmland Wildlife - Arable/Horticultural,£739/ha
Land lying fallow,34,CAHL2,Winter bird food on arable and horticultural land,Farmland Wildlife - Arable/Horticultural,£648/ha*
Land lying fallow,34,CAHL3,Grassy field corners or blocks,Farmland Wildlife - Arable/Horticultural,£590/ha
Land lying fallow,34,CAHL4,4m-12m grass buffer strip on arable and horticultural land,Buffer Strips,£515/ha
Land lying fallow,34,CHRW2,Manage hedgerows,Boundary Features,£13/100m (one side)
Land lying fallow,34,CIPM2,"Flower-rich grass margins, blocks or in-field strips",Integrated Pest Management,£798/ha
Land lying fallow,34,CIPM3,Companion crop on arable and horticultural land,Integrated Pest Management,£55/ha
Land lying fallow,34,CNUM3,Legume fallow,Nutrient Management,£532/ha*
Land lying fallow,34,CSAM2,Multi-species winter cover crop,Soil Health,£129/ha
Land lying fallow,34,CSAM3,Herbal leys,Soil Health,£224/ha*
Land lying fallow,34,OFC3,Organic conversion - rotational land,Organic,£298/ha
Land lying fallow,34,OFM4,Organic land management - rotational land,Organic,£132/ha
Land lying fallow,34,PRF1,Variable rate application of nutrients,Precision Farming,£27/ha
Land lying fallow,34,PRF2,Camera or remote sensor guided herbicide spraying,Precision Farming,£43/ha
Land lying fallow,34,PRF4,Mechanical robotic weeding,Precision Farming,£150/ha
Land lying fallow,34,SCR1,Create scrub and open habitat mosaics,Species Recovery/Management,£588/ha
Land lying fallow,34,SCR2,Manage scrub and open habitat mosaics,Species Recovery/Management,£350/ha
Land lying fallow,34,SOH1,No-till farming,Soil Health,£73/ha
Land lying fallow,34,SOH3,Multi-species summer-sown cover crop,Soil Health,£163/ha
Land lying fallow,34,WBD2,Manage ditches,Waterbodies,£4/100m (both sides)
Land lying fallow,34,WBD3,In-field grass strips,Waterbodies,£765/ha
Land lying fallow,34,WBD4,Arable reversion to grassland with low fertiliser input,Waterbodies,£489/ha
Leguminous and nitrogen fixing crops,35,AGF1,Maintain very low density (30-50 trees/ha) in-field agroforestry on less sensitive land,Agroforestry,£248/ha
Leguminous and nitrogen fixing crops,35,AHW10,Low input harvested cereal crop,Farmland Wildlife - Arable/Horticultural,£354/ha
Leguminous and nitrogen fixing crops,35,AHW11,Cultivated areas for arable plants,Farmland Wildlife - Arable/Horticultural,£660/ha
Leguminous and nitrogen fixing crops,35,AHW2,Supplementary winter bird food,Farmland Wildlife - Arable/Horticultural,£732/t (max 1t per 2ha CAHL2)
Leguminous and nitrogen fixing crops,35,AHW3,Beetle banks,Farmland Wildlife - Arable/Horticultural,£764/ha
Leguminous and nitrogen fixing crops,35,AHW4,Skylark plots,Farmland Wildlife - Arable/Horticultural,£11/plot (min 2 plots/ha)
Leguminous and nitrogen fixing crops,35,AHW5,Nesting plots for lapwing,Farmland Wildlife - Arable/Horticultural,£765/ha
Leguminous and nitrogen fixing crops,35,AHW8,Whole crop spring cereals and overwinter stubble,Farmland Wildlife - Arable/Horticultural,£596/ha
Leguminous and nitrogen fixing crops,35,AHW9,Unharvested cereal headland,Farmland Wildlife - Arable/Horticultural,"£1,072/ha"
Leguminous and nitrogen fixing crops,35,BFS1,12m-24m watercourse buffer strips on cultivated land,Buffer Strips,£707/ha
Leguminous and nitrogen fixing crops,35,BFS6,6m to 12m habitat strip next to watercourses,Buffer Strips,£742/ha
Leguminous and nitrogen fixing crops,35,BND1,Maintain dry stone walls,Boundary Features,£27/100m (both sides)
Leguminous and nitrogen fixing crops,35,BND2,Maintain earth banks or stone-faced hedgebanks,Boundary Features,£11/100m (both sides)
Leguminous and nitrogen fixing crops,35,CAHL1,Pollen and nectar flower mix,Farmland Wildlife - Arable/Horticultural,£739/ha
Leguminous and nitrogen fixing crops,35,CAHL2,Winter bird food on arable and horticultural land,Farmland Wildlife - Arable/Horticultural,£648/ha*
Leguminous and nitrogen fixing crops,35,CAHL3,Grassy field corners or blocks,Farmland Wildlife - Arable/Horticultural,£590/ha
Leguminous and nitrogen fixing crops,35,CAHL4,4m-12m grass buffer strip on arable and horticultural land,Buffer Strips,£515/ha
Leguminous and nitrogen fixing crops,35,CHRW2,Manage hedgerows,Boundary Features,£13/100m (one side)
Leguminous and nitrogen fixing crops,35,CIPM2,"Flower-rich grass margins, blocks or in-field strips",Integrated Pest Management,£798/ha
Leguminous and nitrogen fixing crops,35,CIPM3,Companion crop on arable and horticultural land,Integrated Pest Management,£55/ha
Leguminous and nitrogen fixing crops,35,CIPM4,No use of insecticide on arable crops and permanent crops,Integrated Pest Management,£45/ha
Leguminous and nitrogen fixing crops,35,CNUM3,Legume fallow,Nutrient Management,£532/ha*
Leguminous and nitrogen fixing crops,35,CSAM2,Multi-species winter cover crop,Soil Health,£129/ha
Leguminous and nitrogen fixing crops,35,CSAM3,Herbal leys,Soil Health,£224/ha*
Leguminous and nitrogen fixing crops,35,OFC3,Organic conversion - rotational land,Organic,£298/ha
Leguminous and nitrogen fixing crops,35,OFM1,Organic land management - improved permanent grassland,Organic,£20/ha
Leguminous and nitrogen fixing crops,35,OFM4,Organic land management - rotational land,Organic,£132/ha
Leguminous and nitrogen fixing crops,35,PRF1,Variable rate application of nutrients,Precision Farming,£27/ha
Leguminous and nitrogen fixing crops,35,PRF2,Camera or remote sensor guided herbicide spraying,Precision Farming,£43/ha
Leguminous and nitrogen fixing crops,35,PRF4,Mechanical robotic weeding,Precision Farming,£150/ha
Leguminous and nitrogen fixing crops,35,SOH1,No-till farming,Soil Health,£73/ha
Leguminous and nitrogen fixing crops,35,SOH3,Multi-species summer-sown cover crop,Soil Health,£163/ha
Leguminous and nitrogen fixing crops,35,WBD2,Manage ditches,Waterbodies,£4/100m (both sides)
Leguminous and nitrogen fixing crops,35,WBD3,In-field grass strips,Waterbodies,£765/ha
Leguminous and nitrogen fixing crops,35,WBD4,Arable reversion to grassland with low fertiliser input,Waterbodies,£489/ha
Non-agricultural area,6,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Non-agricultural area,6,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Non-agricultural area,6,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Non-agricultural area,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Non-agricultural area,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Non-agricultural area,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Notional - bracken,6,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Notional - bracken,6,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Notional - bracken,6,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Notional - bracken,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Notional - bracken,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Notional - bracken,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Notional - manmade,6,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Notional - manmade,6,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Notional - manmade,6,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Notional - manmade,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Notional - manmade,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Notional - manmade,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Notional - mixed,6,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Notional - mixed,6,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Notional - mixed,6,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Notional - mixed,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Notional - mixed,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Notional - mixed,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Notional - natural,6,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Notional - natural,6,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Notional - natural,6,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Notional - natural,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Notional - natural,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Notional - natural,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Notional - rock,6,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Notional - rock,6,UPL1,Moderate livestock grazing on moorland,Moorland,£35/ha*
Notional - rock,6,UPL10,Shepherding livestock on moorland (remove stock for at least 8 months),Moorland,£102/ha*
Notional - rock,6,UPL2,Low livestock grazing on moorland,Moorland,£89/ha*
Notional - rock,6,UPL3,Limited livestock grazing on moorland,Moorland,£111/ha*
Notional - rock,6,UPL8,Shepherding livestock on moorland (remove stock for at least 4 months),Moorland,£74/ha*
Notional - scrub,10,BFS6,6m to 12m habitat strip next to watercourses,Buffer Strips,£742/ha
Notional - scrub,10,OFM3,Organic land management - enclosed rough grazing,Organic,£97/ha
Notional - scrub,10,SCR1,Create scrub and open habitat mosaics,Species Recovery/Management,£588/ha
Notional - scrub,10,SCR2,Manage scrub and open habitat mosaics,Species Recovery/Management,£350/ha
Notional - scrub,10,SPM5,Keep native breeds on extensively managed habitats supplement (more than 80%),Species Recovery/Management,£11/ha
